txt_r1,txt_r5,txt_r10,txt_r_mean,img_r1,img_r5,img_r10,img_r_mean,r_mean,agg_metrics,model_size,visual_encoder_block_modules,visual_encoder_block_indices,visual_encoder_block_weight_bits,qformer_layer_indices,qformer_self_attention_modules,qformer_self_attention_weight_bits,qformer_cross_attention_modules,qformer_cross_attention_weight_bits,qformer_text_ff_modules,qformer_text_ff_weight_bits,qformer_img_ff_modules,qformer_img_ff_weight_bits,job_batch,vit_attn,vit_ff,vit_front_blocks,vit_middle_blocks,vit_end_blocks,vit_weight_bits,qformer_front_blocks,qformer_middle_blocks,qformer_end_blocks,qformer_self_attn,qformer_cross_attn,qformer_text_ff,qformer_img_ff,qformer_weight_bits,Quantized Portion
0.1,0.3,0.9,0.43333333333333335,0.06,0.4,1.08,0.5133333333333333,0.47333333333333333,0.43333333333333335,3938.363604,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[4, 5, 6, 7]",,2.0,,2.0,,2.0,,2.0,nbit_flickr_4_2,False,True,False,True,False,2.0,False,True,False,False,False,False,False,2.0,ViT + Q-Former
0.1,0.3,0.9,0.43333333333333335,0.06,0.4,1.08,0.5133333333333333,0.47333333333333333,0.43333333333333335,3938.363604,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,,,,,,,,,,nbit_vit,False,True,False,True,False,2.0,False,False,False,False,False,False,False,,ViT
0.1,0.3,1.0,0.4666666666666666,0.06,0.4,0.92,0.46,0.4633333333333333,0.4666666666666666,2179.575924,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[0, 1, 2, 3, 4, 5, 6, 7]",,2.0,,2.0,"['intermediate', 'output']",2.0,,2.0,nbit_flickr_4_2,True,True,True,True,False,2.0,True,True,False,False,False,True,False,2.0,ViT + Q-Former
0.1,0.3,1.0,0.4666666666666666,0.12,0.5,1.5,0.7066666666666667,0.5866666666666667,0.4666666666666666,2811.201204,"['fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[4, 5, 6, 7, 8, 9, 10, 11]",,2.0,,2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,False,True,False,True,True,2.0,False,True,True,False,False,True,True,2.0,ViT + Q-Former
0.1,0.4,0.6,0.3666666666666667,0.16,0.46,1.02,0.5466666666666667,0.4566666666666667,0.3666666666666667,3420.351924,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,,2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,True,False,False,2.0,True,False,False,True,True,False,True,2.0,ViT + Q-Former
0.1,0.4,0.6,0.3666666666666667,0.18,0.84,1.84,0.9533333333333335,0.6600000000000001,0.3666666666666667,3491.188404,"['qkv', 'proj', 'fc1', 'fc2']","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[4, 5, 6, 7]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,,2.0,,2.0,nbit_flickr_4_2,True,True,False,True,False,2.0,False,True,False,True,True,False,False,2.0,ViT + Q-Former
0.1,0.4,0.8,0.43333333333333335,0.04,0.4,1.0,0.48,0.45666666666666667,0.43333333333333335,3491.188404,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]","['query', 'key', 'value', 'dense']",2.0,"['query', 'key', 'value', 'dense']",2.0,,2.0,,2.0,nbit_flickr_4_2,True,True,True,False,False,2.0,True,False,False,True,True,False,False,2.0,ViT + Q-Former
0.1,0.4,0.8,0.43333333333333335,0.06,0.44,0.96,0.48666666666666664,0.45999999999999996,0.43333333333333335,2037.902964,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",2.0,"[0, 1, 2, 3, 4, 5, 6, 7]",,2.0,,2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,True,True,False,2.0,True,True,False,False,False,True,True,2.0,ViT + Q-Former
0.1,0.4,0.8,0.43333333333333335,0.1,0.52,1.0,0.54,0.4866666666666667,0.43333333333333335,3410.041524,"['qkv', 'proj', 'fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",2.0,"[0, 1, 2, 3]",,2.0,,2.0,"['intermediate', 'output']",2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,True,True,True,False,False,2.0,True,False,False,False,False,True,True,2.0,ViT + Q-Former
0.1,0.4,0.8,0.43333333333333335,0.1,0.68,1.1,0.6266666666666667,0.53,0.43333333333333335,2952.874164,"['fc1', 'fc2']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",2.0,"[0, 1, 2, 3, 8, 9, 10, 11]",,2.0,,2.0,,2.0,"['intermediate_query', 'output_query']",2.0,nbit_flickr_4_2,False,True,True,False,True,2.0,True,False,True,False,False,False,True,2.0,ViT + Q-Former
